citizen_id,first_name,last_name,date_of_birth,nin,state_of_origin,lga,ward
24592,Chinedu,Ibekwe,1968-09-06,33218196001,Abia,Umuahia South,Ward 1
36062,Bright,Onyema,1965-03-05,37940265423,Imo,Umuahia North,Ward 1
22676,Amaka,Otti,1957-01-15,94078161849,Imo,Isiala Ngwa North,Ward 2
16006,Ifeoma,Ibekwe,1943-02-13,13164752553,Enugu,Aba North,Ward 1
93227,Emeka,Obi,1967-04-29,32764835030,Imo,Aba South,Ward 3
37653,Chika,Otti,1942-12-20,37672423884,Enugu,Isiala Ngwa North,Ward 4
62350,Amaka,Nwosu,1966-03-05,28710122691,Imo,Aba South,Ward 4
42953,Bright,Okoro,1963-09-26,18451462704,Enugu,Umuahia South,Ward 1
49117,Bright,Ndukwe,1968-01-18,32528809570,Abia,Aba North,Ward 3
17592,Ifeoma,Ndukwe,1950-09-28,11718227824,Enugu,Isiala Ngwa North,Ward 4
80686,Ifeoma,Ibekwe,1949-07-02,65787133150,Enugu,Isiala Ngwa North,Ward 2
38864,Chinedu,Eze,1966-05-25,03105183473,Enugu,Umuahia South,Ward 4
71993,Uche,Nwosu,1950-11-25,11656670106,Enugu,Aba North,Ward 1
35112,Ifeoma,Obi,1951-02-25,72624731781,Abia,Ohafia,Ward 1
40982,Emeka,Onyema,1944-03-08,77360260647,Imo,Aba South,Ward 4
34890,Obinna,Nwosu,1946-12-11,09805009788,Abia,Umuahia North,Ward 1
18981,Chika,Eze,1948-05-02,36193990916,Enugu,Isiala Ngwa North,Ward 3
36772,Amaka,Nwosu,1951-09-12,46247510799,Abia,Umuahia North,Ward 2
44760,Emeka,Otti,1962-09-10,13542784980,Enugu,Isiala Ngwa North,Ward 3
23577,Emeka,Ibekwe,1969-10-03,11824493534,Enugu,Aba South,Ward 3
22097,Uche,Ibekwe,1942-04-12,00524278680,Abia,Umuahia North,Ward 2
14722,Amaka,Ndukwe,1964-06-21,82620450533,Enugu,Umuahia North,Ward 3
63264,Chika,Umeh,1965-02-11,32260256342,Enugu,Umuahia North,Ward 4
71694,Ifeoma,Nwosu,1941-09-26,75433036541,Imo,Aba North,Ward 4
80282,Amaka,Okoro,1970-06-25,14294019655,Imo,Isiala Ngwa North,Ward 1
85574,Ifeoma,Ibekwe,1957-04-12,06088356159,Imo,Ohafia,Ward 1
76469,Obinna,Onyema,1953-06-21,56482366299,Imo,Aba South,Ward 1
47606,Ifeoma,Onyema,1953-08-18,99577738721,Imo,Isiala Ngwa North,Ward 3
40784,Obinna,Nwosu,1944-03-10,32003791769,Abia,Ohafia,Ward 4
62383,Ifeoma,Umeh,1962-03-05,01632870831,Imo,Umuahia South,Ward 4
79616,Bright,Ndukwe,1969-12-11,57986872774,Abia,Ohafia,Ward 3
73517,Ifeoma,Ibekwe,1963-05-20,71434558122,Abia,Aba South,Ward 2
18418,Uche,Onyema,1949-08-06,58760366909,Imo,Aba South,Ward 1
49139,Uche,Onyema,1955-10-12,88937346706,Imo,Ohafia,Ward 4
71261,Emeka,Ndukwe,1947-05-28,80699016272,Abia,Aba North,Ward 4
37742,Ada,Otti,1954-09-07,56464170805,Abia,Ohafia,Ward 1
15276,Chinedu,Nwosu,1969-03-27,30923271937,Enugu,Aba North,Ward 3
89415,Chika,Eze,1947-07-12,24190496631,Enugu,Ohafia,Ward 2
49529,Chika,Eze,1944-07-27,90586518506,Imo,Umuahia North,Ward 4
93307,Ada,Umeh,1956-03-31,62849877694,Imo,Umuahia South,Ward 1
69087,Ifeoma,Okafor,1952-07-05,99650752735,Imo,Aba North,Ward 3
46211,Bright,Okoro,1966-09-28,83136783777,Abia,Umuahia North,Ward 3
63005,Ifeoma,Ibekwe,1949-12-09,95788568557,Imo,Aba North,Ward 3
25814,Ifeoma,Otti,1950-05-05,18233749894,Abia,Umuahia South,Ward 3
57301,Emeka,Ibekwe,1950-03-16,08240084271,Abia,Isiala Ngwa North,Ward 3
72746,Ada,Otti,1961-01-20,20471167190,Abia,Umuahia South,Ward 3
42530,Ngozi,Obi,1943-10-27,69993867749,Imo,Aba North,Ward 1
23006,Ifeoma,Nwosu,1967-05-07,41232812067,Enugu,Isiala Ngwa North,Ward 4
14278,Ifeoma,Ibekwe,1953-01-23,47134936183,Enugu,Umuahia South,Ward 3
19359,Chinedu,Umeh,1946-05-19,49947174648,Enugu,Aba South,Ward 4
88385,Chinedu,Onyema,1943-08-10,59401399049,Abia,Umuahia South,Ward 4
95394,Ada,Ibekwe,1963-04-12,29671756551,Abia,Aba North,Ward 4
47777,Uche,Obi,1962-03-23,07154516808,Imo,Aba South,Ward 1
77952,Amaka,Ndukwe,1948-05-31,77034824771,Abia,Ohafia,Ward 2
50730,Bright,Okoro,1947-02-07,86131712748,Enugu,Aba North,Ward 4
71894,Ifeoma,Okafor,1961-08-23,82639821465,Enugu,Aba North,Ward 1
49132,Chika,Ndukwe,1952-09-08,72787558867,Imo,Umuahia South,Ward 2
60196,Ifeoma,Onyema,1965-08-25,05766270289,Imo,Umuahia North,Ward 4
78937,Ada,Okoro,1944-06-21,26217459615,Enugu,Isiala Ngwa North,Ward 4
92155,Ada,Obi,1954-03-16,09134316117,Abia,Ohafia,Ward 3
16028,Amaka,Okoro,1941-04-19,45562386922,Abia,Umuahia North,Ward 4
99539,Ifeoma,Okafor,1967-10-19,92374740748,Abia,Umuahia North,Ward 4
87014,Obinna,Onyema,1955-07-02,47436713695,Enugu,Aba North,Ward 3
96275,Uche,Ibekwe,1940-12-25,09097439533,Enugu,Aba North,Ward 2
22735,Chinedu,Ibekwe,1968-03-07,70952145623,Abia,Isiala Ngwa North,Ward 3
75771,Obinna,Umeh,1963-10-24,47451712368,Imo,Umuahia North,Ward 4
44663,Bright,Eze,1940-08-16,75496513709,Enugu,Aba North,Ward 2
18285,Ada,Ibekwe,1969-01-19,61200471138,Abia,Aba South,Ward 4
97881,Bright,Onyema,1956-08-22,92617964053,Imo,Aba South,Ward 2
23022,Amaka,Obi,1956-04-08,50643171390,Abia,Aba North,Ward 2
84000,Ifeoma,Eze,1945-08-25,83933529042,Abia,Isiala Ngwa North,Ward 3
24408,Chinedu,Umeh,1947-10-29,05395024026,Enugu,Umuahia North,Ward 1
68756,Amaka,Obi,1961-05-12,91783908470,Abia,Aba South,Ward 4
99928,Ngozi,Okafor,1959-02-14,71159212499,Enugu,Ohafia,Ward 3
88301,Bright,Ibekwe,1957-01-31,78961183673,Imo,Aba North,Ward 4
64524,Ngozi,Otti,1957-11-19,65452711116,Abia,Ohafia,Ward 3
82924,Chinedu,Ndukwe,1945-11-01,88516560494,Imo,Umuahia North,Ward 2
96079,Ada,Nwosu,1946-12-10,15851493689,Enugu,Ohafia,Ward 1
